,00bffd24-1f0b-586b-b353-4cea5ceaff1b,0c0ad75e-7c00-5393-8f79-03a1d11aadd0,133aaad0-7a96-5385-a436-42443c49a582,18001461-0c52-5caf-a1bf-dfe5284fa5cc,1af6b926-ad76-5af7-91a1-aac1f3fa6e31,1ec2e56f-4943-55cf-a2ce-27451edffd5f,1f226e09-3f9e-52e4-984c-c0749b9654d0,1f90f958-9825-5990-b41b-ea9e520a5337,206306f6-29c3-47f4-b9bc-1d0441c33289,206c710a-d76d-59f1-a51b-c8254ea6f344,24777e9b-5af7-5d0e-aa2f-96940f744836,26eb4fa3-029b-5d5c-a084-4862a3962ff5,28e290c3-89fd-47ca-b3c1-7a24eb52f7ac,2af8dd36-5065-571f-aa75-038c7496942e,2bbb4b68-109c-522d-8d7e-36b727c38d23,2df2ccd2-a52f-552c-923a-c4d4412f5fbe,3208c09f-88b3-470a-b8c9-ac2f18b028b3,41eefd84-3e15-5506-a490-4681b0b4319c,42a61309-f804-54b7-b961-89ce02f23da8,44e27cc3-a4dd-5f5c-9aff-324e75c14cec,46928fb1-083e-520d-b3a5-57b9e1b5e1a2,4c0430fb-0264-56fd-9e43-d58b7a80ea2b,4c1708a3-5c54-5e44-b996-f7c3ee807e43,4c2990f8-5a14-5ea7-934b-fb34b2e97538,5469522e-89a9-5707-99ef-e249c70d3199,558c875c-a40d-5ea9-83b8-b3bf5972ed59,5a5688a4-34bf-5967-8a14-53859dd00942,5a901e0d-adfa-54fa-89f0-e75acba8d2b7,5b9ac2bf-ad64-5aee-8109-63739f829e5f,5c8ce59c-3895-53ff-a960-734ebadbda3e,5c9da640-e95f-5fe6-b295-f6e259f368c3,5d9e2e3a-1a92-56de-b91e-17baeb8a17e9,5fdaa414-c47b-5eea-a9b3-71a5c720dd47,647aa852-0fcb-59c6-af68-0cb25c832fc7,66c64bf1-1781-540c-b43d-33f6cead3c04,677b2e87-413f-4e5e-8e2f-e4c02651c84e,75e14c02-8600-573d-a1ba-b74a2048b3e0,78aed709-a375-4895-bb31-5909fca0f81b,8ceaaff9-5406-5420-bf57-436f189a96ed,985f8460-2e08-5054-bd81-126d544cabd4,9b348edf-b40c-4795-9993-c6ee90bcc494,a36eca53-fc6a-5cd6-b252-7c999524d83b,a4e869e3-3c26-5a40-a357-9398f90c44cf,a4ee59d7-b7f9-4f2a-a341-378f2e915bfc,a5b46438-50df-5121-95a9-85f8906fca1a,aa469afb-1756-5338-8b69-77893cedec8a,ae93a919-6781-5f5a-9241-9252d479fc21,af895424-9a66-4695-bfa4-7cfaa8eac64f,b86df1b0-a516-44ed-9749-3cf83637af2f,c1f67271-ddbc-54ac-8f99-285288a18982,c990537f-0eef-542d-859f-2a09fcd08c4a,cc330331-31cc-45f7-9be6-eb8159dc051d,d05e6120-1fda-598e-b738-d2f059285a7e,d1789ded-cc22-5d69-acf9-1f7d02d6a8f3,d1cfd46e-8738-5672-b258-cb14a77de26e,d1f9f04a-7c0d-5b55-b57b-921fec720516,d1fbbe1c-6d3c-5511-866e-3efe95c8147e,d364be8b-cbee-56b1-8732-28b85f7dea4c,d4da0a9c-c97c-56e5-a38a-7f250438214e,e426bb2f-4ca6-51e3-8075-fd30ae23408b,e6b10eef-6b87-4ce4-8186-c356b75e7fec,f5f898a1-4712-52b5-b624-babd6d32ca72,f6433461-bbf7-5ac0-bc66-9ce557d6b082,fc78a31b-c8d7-4178-8b37-20e0c91db469,ffabbb9c-3d4c-543e-b6e6-80fadf3dea29
2022-07-01 00:00:00+00:00,9805.708,4600.88,35530.86,50522.945,26740.584,13589.25,42996.277,15258.019,32436.195,42736.9,17080.895,9488.5,42276.168,6755.7036,31850.316,11936.797,51408.926,62400.484,19731.385,12329.448,2429.283,83854.59,27961.328,15994.224,5984.494,34150.42,4237.0957,33237.44,13356.085,33718.992,67569.11,5658.4316,128210.016,26513.8,29340.61,74615.91,1894.1029,82822.04,23175.086,30276.709,43607.773,68792.34,25537.65,78229.26,27947.527,8139.585,84313.37,42789.13,154081.33,37259.02,6453.726,23951.945,17055.996,17856.33,53844.72,46995.168,528.3673,39127.582,9812.723,26986.646,45024.613,987.2827,24871.121,94467.42,25678.494
2022-07-01 00:15:00+00:00,9671.173,4518.014,35242.664,54225.234,26247.533,13408.378,42291.965,11125.248,31978.166,41976.16,13021.252,9446.323,41588.18,6662.8,31230.863,11887.34,46450.953,53857.19,19331.05,12172.132,2395.2573,63790.207,31577.994,15941.178,5945.977,33823.77,4208.576,28731.979,13250.768,29720.926,66796.34,5616.288,122573.1,26043.941,29112.494,72457.54,1856.3423,78279.75,22822.549,29758.314,46843.582,67770.94,25398.174,69213.98,27406.879,8043.997,82495.875,42124.664,143779.97,36545.93,6441.158,23611.389,16830.748,17781.504,52836.26,46162.227,522.2758,42779.44,9738.147,26575.822,48289.49,4975.191,24503.602,97652.805,25327.348
2022-07-01 00:30:00+00:00,9563.938,4440.3994,34979.33,57863.77,29767.096,17238.39,41653.934,14989.037,31395.596,45346.984,16861.973,9402.017,40972.477,6538.3516,30658.502,11720.273,49641.56,57388.293,18968.125,12002.365,2373.0598,75706.66,27161.172,15878.97,5892.7544,37472.805,4198.0635,28307.15,13146.815,29712.215,65913.164,5556.0396,124714.484,25671.854,29073.436,70834.28,1818.3381,81833.25,18524.61,29299.707,42154.145,66864.57,25238.926,68167.95,26960.088,7918.923,80977.766,41509.145,149552.39,35873.902,6395.5835,23260.158,16593.016,17596.21,51926.074,45448.055,515.69403,42359.203,9659.16,26139.287,47705.414,8967.349,24149.932,89031.3,24963.445
2022-07-01 00:45:00+00:00,9492.708,4375.6143,34891.54,49713.2,25343.236,13092.198,40947.844,10929.644,30845.629,40833.594,12799.087,9352.437,40230.727,6388.5703,30161.332,11616.773,48897.773,56940.33,18659.365,11887.26,2362.2166,71677.8,26812.867,11820.04,5881.6147,33196.066,4093.8054,31968.55,13084.538,29712.215,65445.977,5523.4697,119103.945,25373.877,28588.037,69321.46,1777.0261,77451.164,22273.896,28914.018,41548.152,66101.1,29124.09,71131.29,26571.723,7787.642,79545.61,40876.312,139286.27,39282.37,6225.8228,23014.91,16400.305,17146.148,55111.44,44842.445,511.21124,38059.973,9563.558,25650.094,51182.977,4961.5073,23905.229,84480.266,24673.096
2022-07-01 01:00:00+00:00,9415.038,4333.8486,34730.34,53566.8,25045.697,12990.553,40615.44,14862.185,30551.55,40412.332,16740.854,13330.958,39915.164,6352.0415,29818.486,11537.541,44386.42,56582.97,18403.08,11776.58,2341.1577,59618.746,26622.188,15789.696,5841.6924,33005.156,4052.142,27680.875,17015.018,25703.504,64847.934,5488.24,122379.33,25115.955,24361.074,68226.58,1758.5406,77161.91,22077.574,28621.322,41172.54,65626.49,25028.164,66615.36,26271.127,7742.034,78573.28,40572.766,142134.48,34846.49,6219.7065,22834.5,16264.104,17117.701,50518.895,44395.375,506.40063,41780.863,9565.954,25419.521,42845.812,4957.0894,23678.053,68093.84,24451.082
2022-07-01 01:15:00+00:00,9285.424,4232.9395,34447.66,53311.59,24362.754,12807.567,39840.902,10716.462,30066.252,39698.54,12742.801,5289.454,39172.293,6255.821,28951.436,11325.5,47575.79,55792.234,18016.23,11499.545,2151.177,75613.71,26224.707,15747.2295,5854.0513,32723.174,3986.419,27079.533,8922.1875,29716.086,64119.56,5486.4062,116850.07,24694.81,31951.904,66889.7,1728.57,80744.76,21655.383,27882.627,44492.26,64426.348,28785.566,65759.72,25741.51,7596.86,77256.89,40044.598,136236.69,34014.586,6018.234,22533.797,15860.371,16728.09,49548.902,43540.254,487.58255,37525.453,9436.578,24886.393,46285.984,4949.8213,23279.248,67449.03,24148.47
2022-07-01 01:30:00+00:00,9185.916,4179.6006,34197.117,57189.566,23904.36,12710.348,39513.55,10654.645,29831.912,43277.504,16588.836,13273.679,38863.324,6251.329,28380.78,11137.312,47112.895,51232.516,17758.217,11258.202,1960.2256,91584.25,26071.783,15734.297,5834.3706,32549.389,4000.0447,26685.406,16854.389,25717.055,63633.938,5473.7554,120569.78,24447.26,27912.855,66159.47,1719.3357,80512.336,21372.225,27388.467,40224.406,63813.6,24591.074,65476.457,25426.69,7519.26,76625.39,39870.61,135556.0,37448.17,5898.107,22439.4,15572.763,16570.922,48959.52,43069.4,471.15012,41318.176,9383.746,24602.5,46055.21,4946.4863,23067.29,67132.47,23969.613
2022-07-01 01:45:00+00:00,9096.316,4137.03,34053.777,53088.723,23498.533,12628.055,39233.453,14594.504,29737.041,38942.246,12536.733,9255.031,38543.23,6192.0615,27859.873,11039.326,42728.773,50744.98,17550.95,11021.896,1776.2888,71562.375,25879.775,15703.886,5812.9263,32371.693,4105.8955,30354.295,12805.592,25734.477,63249.6,5450.0024,115992.14,24239.814,28213.375,65565.29,1702.0444,72335.88,17123.258,26920.93,39948.395,63246.348,24457.77,69209.28,25127.846,7404.237,76203.54,39661.137,138950.9,32981.414,5782.7983,22401.53,15349.966,16395.094,48372.117,42662.11,456.97986,37167.434,9350.951,24329.498,45864.035,4945.4863,22846.344,58869.79,23809.123
2022-07-01 02:00:00+00:00,9023.324,4099.421,33677.6,49037.156,23136.828,12576.939,38949.05,10544.869,29445.553,38666.035,16604.592,9229.019,38227.44,6150.083,27389.285,10781.424,46420.234,50294.87,17430.547,10823.649,1580.5771,67577.43,25724.166,11691.373,5822.117,32221.281,4036.7214,26094.129,12753.541,29735.445,63021.97,5452.312,119443.3,24104.723,27943.049,65261.45,1691.1156,76196.695,20908.818,26532.66,39767.73,62859.047,24280.28,64982.57,24930.143,7296.4253,75939.99,39497.76,134286.98,32586.39,5613.9365,22335.35,15061.434,16088.571,52019.145,42362.195,443.8124,41140.492,9345.977,24083.553,45699.125,4941.8574,22722.365,54696.7,23692.697
2022-07-01 02:15:00+00:00,8679.937,3950.2515,32960.668,56638.67,21598.773,16354.451,38065.97,10332.07,28999.412,41449.258,12491.406,9120.494,37315.305,6119.0264,25346.229,9198.296,44947.363,56209.36,16810.412,9590.413,772.6011,79486.04,29238.969,15659.631,5730.758,35673.645,3994.6624,24694.223,12542.274,33736.414,61900.24,5385.925,114862.484,23428.824,27318.54,64812.668,1655.3198,79480.23,19573.621,24607.346,42109.875,59282.11,23607.25,64642.34,24004.176,6977.2324,75458.234,39090.04,133428.56,30075.26,4990.454,22240.916,13807.147,15174.03,46026.71,41165.52,309.25983,36771.117,9240.4795,23284.836,45016.977,943.67755,21846.395,49824.91,22818.906
