,00bffd24-1f0b-586b-b353-4cea5ceaff1b,0c0ad75e-7c00-5393-8f79-03a1d11aadd0,133aaad0-7a96-5385-a436-42443c49a582,18001461-0c52-5caf-a1bf-dfe5284fa5cc,1af6b926-ad76-5af7-91a1-aac1f3fa6e31,1ec2e56f-4943-55cf-a2ce-27451edffd5f,1f226e09-3f9e-52e4-984c-c0749b9654d0,1f90f958-9825-5990-b41b-ea9e520a5337,206306f6-29c3-47f4-b9bc-1d0441c33289,206c710a-d76d-59f1-a51b-c8254ea6f344,24777e9b-5af7-5d0e-aa2f-96940f744836,26eb4fa3-029b-5d5c-a084-4862a3962ff5,28e290c3-89fd-47ca-b3c1-7a24eb52f7ac,2af8dd36-5065-571f-aa75-038c7496942e,2bbb4b68-109c-522d-8d7e-36b727c38d23,2df2ccd2-a52f-552c-923a-c4d4412f5fbe,3208c09f-88b3-470a-b8c9-ac2f18b028b3,41eefd84-3e15-5506-a490-4681b0b4319c,42a61309-f804-54b7-b961-89ce02f23da8,44e27cc3-a4dd-5f5c-9aff-324e75c14cec,46928fb1-083e-520d-b3a5-57b9e1b5e1a2,4c0430fb-0264-56fd-9e43-d58b7a80ea2b,4c1708a3-5c54-5e44-b996-f7c3ee807e43,4c2990f8-5a14-5ea7-934b-fb34b2e97538,5469522e-89a9-5707-99ef-e249c70d3199,558c875c-a40d-5ea9-83b8-b3bf5972ed59,5a5688a4-34bf-5967-8a14-53859dd00942,5a901e0d-adfa-54fa-89f0-e75acba8d2b7,5b9ac2bf-ad64-5aee-8109-63739f829e5f,5c8ce59c-3895-53ff-a960-734ebadbda3e,5c9da640-e95f-5fe6-b295-f6e259f368c3,5d9e2e3a-1a92-56de-b91e-17baeb8a17e9,5fdaa414-c47b-5eea-a9b3-71a5c720dd47,647aa852-0fcb-59c6-af68-0cb25c832fc7,66c64bf1-1781-540c-b43d-33f6cead3c04,677b2e87-413f-4e5e-8e2f-e4c02651c84e,75e14c02-8600-573d-a1ba-b74a2048b3e0,78aed709-a375-4895-bb31-5909fca0f81b,8ceaaff9-5406-5420-bf57-436f189a96ed,985f8460-2e08-5054-bd81-126d544cabd4,9b348edf-b40c-4795-9993-c6ee90bcc494,a36eca53-fc6a-5cd6-b252-7c999524d83b,a4e869e3-3c26-5a40-a357-9398f90c44cf,a4ee59d7-b7f9-4f2a-a341-378f2e915bfc,a5b46438-50df-5121-95a9-85f8906fca1a,aa469afb-1756-5338-8b69-77893cedec8a,ae93a919-6781-5f5a-9241-9252d479fc21,af895424-9a66-4695-bfa4-7cfaa8eac64f,b86df1b0-a516-44ed-9749-3cf83637af2f,c1f67271-ddbc-54ac-8f99-285288a18982,c990537f-0eef-542d-859f-2a09fcd08c4a,cc330331-31cc-45f7-9be6-eb8159dc051d,d05e6120-1fda-598e-b738-d2f059285a7e,d1789ded-cc22-5d69-acf9-1f7d02d6a8f3,d1cfd46e-8738-5672-b258-cb14a77de26e,d1f9f04a-7c0d-5b55-b57b-921fec720516,d1fbbe1c-6d3c-5511-866e-3efe95c8147e,d364be8b-cbee-56b1-8732-28b85f7dea4c,d4da0a9c-c97c-56e5-a38a-7f250438214e,e426bb2f-4ca6-51e3-8075-fd30ae23408b,e6b10eef-6b87-4ce4-8186-c356b75e7fec,f5f898a1-4712-52b5-b624-babd6d32ca72,f6433461-bbf7-5ac0-bc66-9ce557d6b082,fc78a31b-c8d7-4178-8b37-20e0c91db469,ffabbb9c-3d4c-543e-b6e6-80fadf3dea29
2022-07-01 00:00:00+00:00,6778.659,8289.0103,28156.9537,63085.67574000001,30703.802400000004,12377.4094,77851.7699,10391.2109,32604.2978,47705.5718,26330.4687,10385.273,104655.97600000001,5978.0603,30261.2103,12983.8407,43847.890499999994,54465.7939,15654.7397,17233.33297,7270.0643,74302.8685,23378.124,17596.393340000002,3794.505,38907.448599999996,812.6174,44146.2238,37819.6362,41207.397,95536.34334999998,1377.9167,139172.29557,29890.5075,34517.3044,92844.81839999999,2730.0906,86401.1976,19059.3748,37504.778399999996,41884.441549999996,59507.851200000005,34447.5923,59903.163,27254.1935,6080.2084,127881.0598,49414.4917,174681.3294,40482.8513,6069.0887,59903.163,22786.8893,1508.5807,78779.0751,43153.6459,0.0,39284.35080000001,10239.7529,28416.146399999998,45915.30040000001,2949.7916,26959.894600000003,42423.1771,30662.904199999997
2022-07-01 00:15:00+00:00,7612.5904,6902.2132,30868.294499999996,58462.918099999995,32586.0678,12603.0204,75820.4682,10887.668699999998,35217.3963,42368.88,26875.8733,11046.81,95464.3235,7337.356400000001,30399.961670000004,15569.178899999999,41301.7974,57773.0599,15676.9005,11743.020700000001,5323.086,76902.71300000002,22776.498,18664.727,4836.393,28990.9368,818.659,38513.2681,37019.1918,38344.674,92299.7539,2532.8125,132863.7761,28043.1127,33121.5651,90330.55900000001,2587.0966,85351.813,17158.2555,37225.6515,39387.8132,55938.4109,39821.5623,60489.842000000004,23502.304299999996,4321.107,123605.6508,51948.8801,184308.00699999998,36924.7397,4915.4426,60489.842000000004,23610.1041,2567.2268,85568.2404,43557.228200000005,0.0,36210.3915,9296.6533,28032.1743,46448.4764,4476.745,25684.5317,43078.631700000005,30146.8491
2022-07-01 00:30:00+00:00,7933.281300000001,6528.308099999999,27980.624,60213.94611999999,30127.681,11745.1695,78159.255,10865.2996,37626.0536,40378.4887,28452.656199999998,12331.745,72897.333,7909.7009,29757.056320000003,14184.6486,41663.3089,55260.821200000006,16101.1201,12009.8957,5737.0832,64493.1658,19291.888,17834.9086,3707.2656,27621.0154,820.3123,34769.4012,37242.7861,35403.385,85556.22297,2235.1824,132489.45293,27093.3337,37467.264200000005,86869.3475,3120.3643,89803.5714,17067.877699999997,38080.1164,37811.84946,55151.132399999995,38147.6193,58013.11,24071.3168,3702.8001000000004,125353.4195,53567.3572,173323.8132,35623.567200000005,2528.5156,58013.11,27515.286099999998,4730.664,86616.88810000001,41732.87699999999,0.0,39512.0298,6180.8201,25710.3384,46156.1852,6230.338400000001,24962.616400000003,40308.879700000005,29912.877500000002
2022-07-01 00:45:00+00:00,7488.7756,7450.0788,33730.0378,63043.737100000006,28117.683,12039.5702,78279.794,11012.969500000001,30950.715900000003,39261.7589,27244.4128,10829.961,73874.9605,6922.265600000001,32421.588560000004,13326.7195,40092.644100000005,55701.8901,16884.5699,14514.4666,5674.713299999999,65981.1609,20372.8654,17716.7193,3287.2527,27500.884700000002,952.6693,30419.530300000002,38325.028300000005,34460.195,93172.6672,3111.393,134089.2334,25147.498900000002,35175.3516,90490.7264,3979.5055,90991.07800000001,18175.1428,35322.7611,36396.0945,57399.72640000001,39651.797000000006,57153.656,25010.260299999998,7878.476000000001,129726.40639999999,47365.0392,166766.8095,33912.3047,4065.1301,57153.656,26824.3369,2625.1308,74047.2917,43563.9206,0.0,38751.0542,5589.4663,25894.5963,44909.9098,5898.4247,22913.984500000002,39221.1864,31261.9677
2022-07-01 01:00:00+00:00,6818.8799,7789.8311,30014.6878,65788.03459999998,32552.4747,11588.5942,76925.2102,9575.964100000001,28607.839099999997,38855.4029,24651.797100000003,12050.455,72595.53649999999,6136.953100000001,29763.15118,12044.2842,39528.814999999995,53164.40019999999,18573.8799,13870.912100000001,5305.3784,82493.7764,19026.7846,18687.40828,3516.1067,27133.3586,992.99468,31635.208700000003,37206.914300000004,39544.426999999996,88230.67966000001,1981.0547,127231.49537,26166.041899999997,45591.835399999996,83520.70460000001,2840.4817000000003,87869.879,17207.969,33117.735199999996,34484.9865,56288.36,40537.618700000006,57289.141,25724.218600000004,7570.6644,125377.24900000001,47441.1329,167099.47749999998,38698.8401,4493.776,57289.141,24806.3543,2412.3563,72604.166,45211.797600000005,0.0,39192.9022,5749.1927,27926.2377,45304.6881,4148.3593,23201.927000000003,37437.5126,35332.9303
2022-07-01 01:15:00+00:00,6981.665999999999,6775.755,37949.1409,68574.7157,30003.1382,11834.8958,78162.98010000002,9771.8102,34171.2756,37830.962799999994,26008.789,10928.763,75712.449,5651.7185,32444.869160000002,13425.508,40128.711500000005,54066.887200000005,16318.8415,12154.1927,5963.3073,91107.3647,20529.218800000002,17699.19265,4913.6196,25534.8048,940.52097,32555.000199999995,38563.386,39070.443,96010.28636000001,1446.341,134908.21869999997,27631.1852,40468.2549,81539.3493,2456.8230000000003,85831.06400000001,20013.7498,31867.759599999998,38518.92020000001,55211.328,36596.7713,56617.945,25101.9919,6123.437,131619.63199999998,48890.924900000005,158629.167,32112.0701,4464.765530000001,56617.945,23879.4654,3244.8956,69164.6221,42045.298,0.0,36854.8848,5109.2448,24869.2052,44962.1487,2435.3907,22852.0328,38219.4653,32854.4513
2022-07-01 01:30:00+00:00,7009.2447999999995,7595.637699999999,35395.480899999995,64470.495,33564.50489999999,16863.085700000003,75029.56950000001,11522.5641,34470.0395,40401.810399999995,26736.5624,10685.352,72402.279,6383.3593,30991.01555,11373.2025,44478.8399,55530.8715,18185.7163,11789.62214,6392.9033,77940.86159999999,18917.4879,16761.51065,6299.6743,25968.9065,770.182,26963.164,37473.2423,33057.759999999995,92815.87423999999,2313.9453,129325.3114,28161.2491,30390.9888,83039.5305,2749.1273,86455.418,17631.8366,33643.6703,33929.531149999995,59230.832800000004,38128.6607,53451.795,24764.400299999998,3363.8021,132121.5367,47066.4431,162813.109,35790.7545,5864.1274,53451.795,23777.8134,3644.7266,74209.9594,45612.745899999994,0.0,37340.1158,5673.8022,26443.189700000003,43347.3953,4947.6041,20579.206,37838.1639,26761.211199999998
2022-07-01 01:45:00+00:00,6901.940199999999,6597.7866,30731.9404,67254.9621,32205.0126,12812.0053,77649.2704,9833.151,33028.0858,39827.8906,27143.828,11707.3955,76939.9884,5260.5857,31274.246380000004,11981.4194,42849.7918,52306.873900000006,16419.2318,12628.294,7528.9849,68658.64934,18616.6405,16296.081400000001,4024.2966,25131.042299999997,919.9610299999999,29879.2191,36540.8579,36093.918999999994,97313.46405,3037.005,135783.35619999998,26682.7862,35746.4448,90693.5931,3257.6567000000005,87938.1523,18483.333300000002,34945.1816,35606.34108,59190.39223,40597.486699999994,47962.422,24408.9717,6044.3357,126814.6763,45520.0122,156249.7875,34488.5156,3951.5366,47962.422,22986.223899999994,3354.349,72888.7637,44997.5897,0.0,38992.7206,5519.6222,28593.854099999997,42828.449700000005,3222.6692000000003,20919.687400000003,36081.37980000001,23828.75
2022-07-01 02:00:00+00:00,8406.1718,7026.6929,35670.2206,64011.393,30569.0753,13786.9535,73024.1408,9468.854500000001,24182.798600000002,38705.885200000004,24612.1211,10389.805,73211.7985,5495.117200000001,32403.267719999996,11480.7682,40213.2553,58103.63300000001,17797.1346,12818.35854,5510.8591,91050.45129999999,19590.286,16430.4317,4503.9585,26993.3592,757.42163,31052.0969,35798.880300000004,43511.327000000005,89914.21664,1400.2477,136854.58550000002,27897.552499999998,35402.7336,88382.36679999999,3747.5262999999995,90668.62,17279.6745,34122.330500000004,36998.93184,54279.220180000004,37695.2071,48224.883,25978.41086,8706.146,122608.99500000002,47330.52129999999,151922.674,36979.4914,6633.2163,48224.883,23582.122500000005,4042.591,73968.204,42548.7756,0.0,37630.717099999994,5459.2971,29419.545299999998,44043.7626,3585.5991,20302.0197,36496.50949999999,23244.0495
2022-07-01 02:15:00+00:00,7383.9841,7227.1221,31989.1538,63157.8389,27906.9271,11634.2836,74559.5447,8181.4586,30768.9207,37770.84640000001,26084.9596,11923.463,74490.3233,5642.734399999999,31611.4049,11425.4951,39442.552,55233.2682,17802.4739,13407.0834,6569.8832999999995,68009.8834,20741.809100000002,15622.226340000001,4950.7417,26670.0917,2382.51253,28359.351200000005,35841.4317,51152.835999999996,89115.48184,1364.336,138313.30639999997,27998.9704,33064.348750000005,90928.18059999999,2791.6796999999997,80820.6654,17356.2504,35090.8589,35774.8298,53515.038830000005,38055.7953,48389.182,25720.3255,7649.308800000001,120519.0221,42922.4475,167850.87199999997,33267.786,6779.8433,48389.182,25539.4667,3277.8647,72342.1491,42956.3656,0.0,36616.0022,4668.3202,26309.4272,42132.3563,2388.5681,20256.6277,37921.5103,23271.3016
